homologID	entrezHuman	symbHuman	entrezMouse	symbMouse
3602	7485	10891	PPARGC1A	19017	Ppargc1a
3603	7486	8495	PPFIBP2	19024	Ppfibp2
3604	7488	5538	PPT1	19063	Ppt1
3605	7490	8492	PRSS12	19142	Prss12
3606	7494	9791	PTDSS1	19210	Ptdss1
3607	7495	9317	PTER	19212	Pter
3608	7496	5739	PTGIR	19222	Ptgir
3609	7497	5771	PTPN2	19255	Ptpn2
3610	7498	26191	PTPN22	19260	Ptpn22
3611	7499	284119	PTRF	19285	Ptrf
3612	7500	5806	PTX3	19288	Ptx3
3613	7502	64284	RAB17	19329	Rab17
3614	7503	51715	RAB23	19335	Rab23
3615	7507	5897	RAG2	19374	Rag2
3616	7508	10743	RAI1	19377	Rai1
3617	7509	51655	RASD1	19416	Rasd1
3618	7511	3516	RBPJ	19664	Rbpj
3619	7512	11317	RBPJL	19668	Rbpjl
3620	7514	28954	REM1	19700	Rem1
3621	7515	85021	REPS1	19707	Reps1
3622	7516	389075	RESP18	19711	Resp18
3623	7517	5979	RET	19713	Ret
3624	7521	6251	RSU1	20163	Rsu1
3625	7522	6242	RTKN	20166	Rtkn
3626	7523	6284	S100A13	20196	S100a13
3627	7524	51450	PRRX2	20204	Prrx2
3628	7525	390010	NKX1-2	20231	Nkx1-2
3629	7526	29106	SCG3	20255	Scg3
3630	7528	50861	STMN3	20262	Stmn3
3631	7529	6367	CCL22	20299	Ccl22
3632	7533	2734	GLG1	20340	Glg1
3633	7534	23616	SH3BP1	20401	Sh3bp1
3634	7536	53358	SHC3	20418	Shc3
3635	7537	56961	SHD	20420	Shd
3636	7539	6487	ST3GAL3	20441	St3gal3
3637	7540	6482	ST3GAL1	20442	St3gal1
3638	7543	22950	SLC4A1AP	20534	Slc4a1ap
3639	7546	54345	SOX18	20672	Sox18
3640	7548	55342	STRBP	20744	Strbp
3641	7550	22928	SEPHS2	20768	Sephs2
3642	7553	7478	WNT8A	20890	Wnt8a
3643	7554	64220	STRA6	20897	Stra6
3644	7557	23075	SWAP70	20947	Swap70
3645	7559	6860	SYT4	20983	Syt4
3646	7560	6866	TAC3	21334	Tac2
3647	7561	6878	TAF6	21343	Taf6
3648	7562	6895	TARBP2	21357	Tarbp2
3649	7563	83439	TCF7L1	21415	Tcf7l1
3650	7564	6934	TCF7L2	21416	Tcf7l2
3651	7565	8115	TCL1A	21432	Tcl1
3652	7567	5252	PHF1	21652	Phf1
3653	7568	6975	TECTB	21684	Tectb
3654	7569	132612	ADAD1	21744	Adad1
3655	7570	7013	TERF1	21749	Terf1
3656	7572	7041	TGFB1I1	21804	Tgfb1i1
3657	7573	8848	TSC22D1	21807	Tsc22d1
3658	7574	7050	TGIF1	21815	Tgif1
3659	7575	3196	TLX2	21909	Tlx2
3660	7582	197131	UBR1	22222	Ubr1
3661	7583	558	AXL	26362	Axl
3662	7586	7403	KDM6A	22289	Kdm6a
3663	7591	6844	VAMP2	22318	Vamp2
3664	7592	7408	VASP	22323	Vasp
3665	7593	11023	VAX1	22326	Vax1
3666	7594	7414	VCL	22330	Vcl
3667	7596	10998	SLC27A5	26459	Slc27a5
3668	7597	140767	NRSN1	22360	Nrsn1
3669	7598	29802	VPREB3	22364	Vpreb3
3670	7601	132625	ZFP42	22702	Zfp42
3671	7603	346171	ZFP57	22715	Zfp57
3672	7604	55734	ZFP64	22722	Zfp64
3673	7605	51043	ZBTB7B	22724	Zbtb7b
3674	7606	161882	ZFPM1	22761	Zfpm1
3675	7613	10881	ACTL7A	11470	Actl7a
3676	7614	4185	ADAM11	11488	Adam11
3677	7617	23394	ADNP	11538	Adnp
3678	7621	57085	AGTRAP	11610	Agtrap
3679	7623	57379	AICDA	11628	Aicda
3680	7625	258	AMBN	11698	Ambn
3681	7626	317	APAF1	11783	Apaf1
3682	7628	7026	NR2F2	11819	Nr2f2
3683	7629	9716	AQR	11834	Aqr
3684	7630	395	ARHGAP6	11856	Arhgap6
3685	7631	9048	ARTN	11876	Artn
3686	7632	63974	NEUROD6	11922	Neurod6
3687	7633	63973	NEUROG2	11924	Neurog2
3688	7635	487	ATP2A1	11937	Atp2a1
3689	7638	22994	CEP131	12009	Azi1
3690	7639	598	BCL2L1	12048	Bcl2l1
3691	7640	604	BCL6	12053	Bcl6
3692	7642	27018	NGFRAP1	12070	Ngfrap1
3693	7643	10018	BCL2L11	12125	Bcl2l11
3694	7644	27302	BMP10	12154	Bmp10
3695	7645	150572	SMYD1	12180	Smyd1
3696	7649	27101	CACYBP	12301	Cacybp
3697	7650	259266	ASPM	12316	Aspm
3698	7651	23473	CAPN7	12339	Capn7
3699	7652	8837	CFLAR	12633	Cflar
3700	7657	841	CASP8	12370	Casp8
3701	7658	831	CAST	12380	Cast
3702	7659	9821	RB1CC1	12421	Rb1cc1
3703	7660	9134	CCNE2	12448	Ccne2
3704	7661	25819	CCRN4L	12457	Ccrn4l
3705	7663	23607	CD2AP	12488	Cd2ap
3706	7664	28981	IFT81	12589	Ift81
3707	7665	9620	CELSR1	12614	Celsr1
3708	7666	27141	CIDEB	12684	Cideb
3709	7667	1154	CISH	12700	Cish
3710	7670	55907	CMAS	12764	Cmas
3711	7671	254263	CNIH2	12794	Cnih2
3712	7672	1267	CNP	12799	Cnp
3713	7673	80781	COL18A1	12822	Col18a1
3714	7674	9564	BCAR1	12927	Bcar1
3715	7677	1440	CSF3	12985	Csf3
3716	7683	1641	DCX	13193	Dcx
3717	7684	50807	ASAP1	13196	Asap1
3718	7688	8694	DGAT1	13350	Dgat1
3719	7689	22943	DKK1	13380	Dkk1
3720	7699	10913	EDAR	13608	Edar
3721	7703	5463	POU6F1	19009	Pou6f1
3722	7706	2063	NR2F6	13864	Nr2f6
3723	7707	219285	SAMD9L	209086	Samd9l
3724	7710	2155	F7	14068	F7
3725	7713	55527	FEM1A	14154	Fem1a
3726	7714	10116	FEM1B	14155	Fem1b
3727	7715	2253	FGF8	14179	Fgf8
3728	7717	24147	FJX1	14221	Fjx1
3729	7718	60681	FKBP10	14230	Fkbp10
3730	7720	23770	FKBP8	14232	Fkbp8
3731	7721	64400	AKTIP	14339	Aktip
3732	7723	2553	GABPB1	14391	Gabpb1
3733	7724	51083	GAL	14419	Gal
3734	7728	54834	GDAP2	14547	Gdap2
3735	7729	51650	MRPS33	14548	Mrps33
3736	7731	2691	GHRH	14601	Ghrh
3737	7732	10888	GPR83	14608	Gpr83
3738	7733	84694	GJA10	14610	Gja10
3739	7734	57369	GJD2	14617	Gjd2
3740	7738	2792	GNGT1	14699	Gngt1
3741	7740	94235	GNG8	14709	Gng8
3742	7741	27232	GNMT	14711	Gnmt
3743	7743	133418	EMB	13723	Emb
3744	7744	145258	GSC	14836	Gsc
3745	7745	83445	GSG1	14840	Gsg1
3746	7747	2954	GSTZ1	14874	Gstz1
3747	7748	2969	GTF2I	14886	Gtf2i
3748	7749	81502	HM13	14950	H13
3749	7751	3122	HLA-DRA	100504404	H2-Ea-ps
3750	7755	388585	HES5	15208	Hes5
3751	7756	23462	HEY1	15213	Hey1
3752	7762	3170	FOXA2	15376	Foxa2
3753	7765	3203	HOXA6	15403	Hoxa6
3754	7766	3205	HOXA9	15405	Hoxa9
3755	7768	3218	HOXB8	15416	Hoxb8
3756	7769	3228	HOXC12	15421	Hoxc12
3757	7770	3229	HOXC13	15422	Hoxc13
3758	7772	3231	HOXD1	15429	Hoxd1
3759	7773	3233	HOXD4	15436	Hoxd4
3760	7774	50809	HP1BP3	15441	Hp1bp3
3761	7776	8692	HYAL2	15587	Hyal2
3762	7777	3382	ICA1	15893	Ica1
3763	7778	51278	IER5	15939	Ier5
3764	7781	10068	IL18BP	16068	Il18bp
3765	7782	3551	IKBKB	16150	Ikbkb
3766	7783	7850	IL1R2	16178	Il1r2
3767	7784	3566	IL4R	16190	Il4ra
3768	7785	3609	ILF3	16201	Ilf3
3769	7786	27130	INVS	16348	Invs
3770	7789	84962	AJUBA	16475	Ajuba
3771	7791	3743	KCNA7	16495	Kcna7
3772	7793	3768	KCNJ12	16515	Kcnj12
3773	7794	3776	KCNK2	16526	Kcnk2
3774	7796	113220	KIF12	16552	Kif12
3775	7799	22920	KIFAP3	16579	Kifap3
3776	7800	90990	KIFC2	16581	Kifc2
3777	7801	127933	UHMK1	16589	Uhmk1
3778	7803	59269	HIVEP3	16656	Hivep3
3779	7805	342574	KRT27	16675	Krt27
3780	7809	3920	LAMP2	16784	Lamp2
3781	7810	9215	LARGE	16795	Large
3782	7811	27040	LAT	16797	Lat
3783	7813	51176	LEF1	16842	Lef1
3784	7814	8022	LHX3	16871	Lhx3
3785	7816	56956	LHX9	16876	Lhx9
3786	7818	84823	LMNB2	16907	Lmnb2
3787	7819	84708	LNX1	16924	Lnx1
3788	7820	51341	ZBTB7A	16969	Zbtb7a
3789	7822	56667	MUC13	17063	Muc13
3790	7823	22918	CD93	17064	Cd93
3791	7824	10586	MAB21L2	23937	Mab21l2
3792	7825	23764	MAFF	17133	Maff
3793	7826	23582	CCNDBP1	17151	Ccndbp1
3794	7827	4118	MAL	17153	Mal
3795	7830	9782	MATR3	17184	Matr3
3796	7832	4179	CD46	17221	Cd46
3797	7836	10462	CLEC10A	216864	Mgl2
3798	7837	4281	MID1	17318	Mid1
3799	7838	168620	BHLHA15	17341	Bhlha15
3800	7839	4291	MLF1	17349	Mlf1
3801	7842	4335	MNT	17428	Mnt
3802	7843	27136	MORC1	17450	Morc1
3803	7844	338339	CLEC4D	17474	Clec4d
3804	7845	4352	MPL	17480	Mpl
3805	7846	4212	MEIS2	17536	Meis2
3806	7850	4135	MAP6	17760	Map6
3807	7856	4430	MYO1B	17912	Myo1b
3808	7857	4654	MYOD1	17927	Myod1
3809	7859	8648	NCOA1	17977	Ncoa1
3810	7861	4773	NFATC2	18019	Nfatc2
3811	7862	84901	NFATC2IP	18020	Nfatc2ip
3812	7863	4792	NFKBIA	18035	Nfkbia
3813	7865	4853	NOTCH2	18129	Notch2
3814	7866	29128	UHRF1	18140	Uhrf1
3815	7867	4880	NPPC	18159	Nppc
3816	7868	27065	NSG1	18196	Nsg1
3817	7869	123803	NTAN1	18203	Ntan1
3818	7870	170392	OIT3	18302	Oit3
3819	7874	23440	OTP	18420	Otp
3820	7875	5013	OTX1	18423	Otx1
3821	7878	5127	CDK16	18555	Cdk16
3822	7879	27250	PDCD4	18569	Pdcd4
3823	7880	10016	PDCD6	18570	Pdcd6
3824	7881	29943	PADI1	18599	Padi1
3825	7882	51702	PADI3	18601	Padi3
3826	7883	23569	PADI4	18602	Padi4
3827	7884	8682	PEA15	18611	Pea15a
3828	7885	8864	PER2	18627	Per2
3829	7886	8863	PER3	18628	Per3
3830	7887	5202	PFDN2	18637	Pfdn2
3831	7888	5218	CDK14	18647	Cdk14
3832	7889	5295	PIK3R1	18708	Pik3r1
3833	7892	26279	PLA2G2D	18782	Pla2g2d
3834	7893	23646	PLD3	18807	Pld3
3835	7895	51297	BPIFA1	18843	Bpifa1
3836	7896	5396	PRRX1	18933	Prrx1
3837	7898	25833	POU2F3	18988	Pou2f3
3838	7899	5468	PPARG	19016	Pparg
3839	7904	5621	PRNP	19122	Prnp
3840	7906	6768	ST14	19143	St14
3841	7908	5738	PTGFRN	19221	Ptgfrn
3842	7909	5783	PTPN13	19249	Ptpn13
3843	7915	57605	PITPNM2	19679	Pitpnm2
3844	7917	5991	RFX3	19726	Rfx3
3845	7918	6006	RHCE	19746	Rhd
3846	7919	6035	RNASE1	19752	Rnase1
3847	7920	51132	RLIM	19820	Rlim
3848	7921	22895	RPH3A	19894	Rph3a
3849	7922	102724828	LOC102724828	19935	Mrpl23
3850	7923	6257	RXRB	20182	Rxrb
3851	7924	6275	S100A4	20198	S100a4
3852	7925	6277	S100A6	20200	S100a6
3853	7927	6334	SCN8A	20273	Scn8a
3854	7929	6356	CCL11	20292	Ccl11
3855	7931	10500	SEMA6C	20360	Sema6c
3856	7934	6464	SHC1	20416	Shc1
3857	7936	26999	CYFIP2	76884	Cyfip2
3858	7937	55808	ST6GALNAC1	20445	St6galnac1
3859	7938	256435	ST6GALNAC3	20447	St6galnac3
3860	7939	27090	ST6GALNAC4	20448	St6galnac4
3861	7940	6494	SIPA1	20469	Sipa1
3862	7948	64321	SOX17	20671	Sox17
3863	7949	83595	SOX7	20680	Sox7
3864	7950	30812	SOX8	20681	Sox8
3865	7951	53340	SPA17	20686	Spa17
3866	7952	6670	SP3	20687	Sp3
3867	7953	121599	SPIC	20728	Spic
3868	7954	27290	SPINK4	20731	Spink4
3869	7955	10653	SPINT2	20733	Spint2
3870	7957	6725	SRMS	20811	Srms
3871	7959	148066	ZNRF4	20834	Znrf4
3872	7960	6774	STAT3	20848	Stat3
3873	7962	10733	PLK4	20873	Plk4
3874	7963	252983	STXBP4	20913	Stxbp4
3875	7964	50511	SYCP3	20962	Sycp3
3876	7965	9672	SDC3	20970	Sdc3
3877	7966	6899	TBX1	21380	Tbx1
3878	7967	6913	TBX15	21384	Tbx15
3879	7968	9496	TBX4	21387	Tbx4
3880	7969	6945	MLX	21428	Mlx
3881	7970	7343	UBTF	21429	Ubtf
3882	7971	6991	TCTE3	100041639	Gm3448
3883	7973	83659	TEKT1	21689	Tekt1
3884	7975	51368	TEX264	21767	Tex264
3885	7976	51298	THEG	21830	Theg
3886	7977	399687	MYO18A	360013	Myo18a
3887	7979	8742	TNFSF12	21944	Tnfsf12
3888	7980	9191	DEDD	21945	Dedd
3889	7981	7187	TRAF3	22031	Traf3
3890	7982	11277	TREX1	22040	Trex1
3891	7984	60385	TSKS	22116	Tsks
3892	7985	7286	TUFT1	22156	Tuft1
3893	7986	7305	TYROBP	22177	Tyrobp
3894	7988	7337	UBE3A	22215	Ube3a
3895	7990	83549	UCK1	22245	Uck1
3896	7993	51393	TRPV2	22368	Trpv2
3897	7995	51186	WBP5	22381	Wbp5
3898	7997	58525	WIZ	22404	Wiz
3899	7998	165904	XIRP1	22437	Xirp1
3900	8001	54414	SIAE	22619	Siae
3901	8003	7707	ZNF148	22661	Zfp148
3902	8008	23414	ZFPM2	22762	Zfpm2
3903	8009	51663	ZFR	22763	Zfr
3904	8013	59344	ALOXE3	23801	Aloxe3
3905	8014	23621	BACE1	23821	Bace1
3906	8015	28316	CDH20	23836	Cdh20
3907	8017	9988	DMTF1	23857	Dmtf1
3908	8018	55179	FAIM	23873	Faim
3909	8021	64395	GMCL1	23885	Gmcl1
3910	8022	26585	GREM1	23892	Grem1
3911	8023	64388	GREM2	23893	Grem2
3912	8024	10870	HCST	23900	Hcst
3913	8025	9653	HS2ST1	23908	Hs2st1
3914	8026	66004	LYNX1	23936	Lynx1
3915	8028	11043	MID2	23947	Mid2
3916	8030	8431	NR0B2	23957	Nr0b2
3917	8034	26011	TENM4	23966	Tenm4
3918	8035	130497	OSR1	23967	Osr1
3919	8038	9802	DAZAP2	23994	Dazap2
3920	8040	6041	RNASEL	24014	Rnasel
3921	8041	11280	SCN11A	24046	Scn11a
3922	8042	81848	SPRY4	24066	Spry4
3923	8043	27285	TEKT2	24084	Tekt2
3924	8046	11219	TREX2	24102	Trex2
3925	8047	11274	USP18	24110	Usp18
3926	8048	25806	VAX2	24113	Vax2
3927	8050	976	CD97	26364	Cd97
3928	8053	79068	FTO	26383	Fto
3929	8056	4214	MAP3K1	26401	Map3k1
3930	8057	10101	NUBP2	26426	Nubp2
3931	8058	90993	CREB3L1	26427	Creb3l1
3932	8059	5000	ORC4	26428	Orc4
3933	8062	5891	MOK	26448	Stk30
3934	8063	376497	SLC27A1	26457	Slc27a1
3935	8064	23154	NCDN	26562	Ncdn
3936	8066	9994	CASP8AP2	26885	Casp8ap2
3937	8067	51138	COPS4	26891	Cops4
3938	8068	64708	COPS7B	26895	Cops7b
3939	8070	117157	SH2D1B	26904	Sh2d1b1
3940	8072	114787	GPRIN1	26913	Gprin1
3941	8073	23567	ZNF346	26919	Zfp346
3942	8076	25824	PRDX5	54683	Prdx5
3943	8077	29127	RACGAP1	26934	Racgap1
3944	8078	64283	ARHGEF28	110596	Arhgef28
3945	8079	81849	ST6GALNAC5	26938	St6galnac5
3946	8080	51295	ECSIT	26940	Ecsit
3947	8081	6674	SPAG1	26942	Spag1
3948	8082	27283	TINAG	26944	Tinag
3949	8083	30814	PLA2G2E	26970	Pla2g2e
3950	8084	64600	PLA2G2F	26971	Pla2g2f
3951	8085	29117	BRD7	26992	Brd7
3952	8088	3663	IRF5	27056	Irf5
3953	8091	8131	NPRL3	17168	Nprl3
3954	8092	23418	CRB1	170788	Crb1
3955	8093	8226	HDHD1	67365	Hdhd1a
3956	8094	22936	ELL2	192657	Ell2
3957	8095	23401	FRAT2	212398	Frat2
3958	8096	23536	ADAT1	30947	Adat1
3959	8097	29851	ICOS	54167	Icos
3960	8100	23650	TRIM29	72169	Trim29
3961	8101	473	RERE	68703	Rere
3962	8103	26228	STAP1	56792	Stap1
3963	8104	25789	TMEM59L	67937	Tmem59l
3964	8105	26511	CHIC2	74277	Chic2
3965	8106	10598	AHSA1	217737	Ahsa1
3966	8107	22974	TPX2	72119	Tpx2
3967	8108	23624	CBLC	80794	Cblc
3968	8109	23552	CDK20	105278	Cdk20
3969	8110	23580	CDC42EP4	56699	Cdc42ep4
3970	8111	26973	CHORDC1	66917	Chordc1
3971	8112	25792	CIZ1	68379	Ciz1
3972	8114	85865	GTPBP10	207704	Gtpbp10
3973	8115	23562	CLDN14	56173	Cldn14
3974	8116	26285	CLDN17	239931	Cldn17
3975	8117	9073	CLDN8	54420	Cldn8
3976	8118	25802	LMOD1	93689	Lmod1
3977	8120	23576	DDAH1	69219	Ddah1
3978	8121	26512	INTS6	18130	Ints6
3979	8122	27019	DNAI1	68922	Dnaic1
3980	8123	23566	LPAR3	65086	Lpar3
3981	8125	24139	EML2	72205	Eml2
3982	8126	2036	EPB41L1	13821	Epb4.1l1
3983	8127	26224	FBXL3	50789	Fbxl3
3984	8128	26235	FBXL4	269514	Fbxl4
3985	8129	26234	FBXL5	242960	Fbxl5
3986	8130	26233	FBXL6	30840	Fbxl6
3987	8131	26190	FBXW2	30050	Fbxw2
3988	8132	26232	FBXO2	230904	Fbxo2
3989	8133	26273	FBXO3	57443	Fbxo3
3990	8134	26272	FBXO4	106052	Fbxo4
3991	8135	26271	FBXO5	67141	Fbxo5
3992	8136	25793	FBXO7	69754	Fbxo7
3993	8137	26269	FBXO8	50753	Fbxo8
3994	8138	27023	FOXB1	64290	Foxb1
3995	8140	2299	FOXI1	14233	Foxi1
3996	8142	26515	TIMM10B	14356	Timm10b
3997	8143	9910	RABGAP1L	29809	Rabgap1l
3998	8147	9329	GTF3C4	269252	Gtf3c4
3999	8148	23498	HAAO	107766	Haao
4000	8151	22801	ITGA11	319480	Itga11
4001	8153	11320	MGAT4A	269181	Mgat4a
4002	8154	10724	MGEA5	76055	Mgea5
4003	8156	4595	MUTYH	70603	Mutyh
4004	8157	8225	GTPBP6	107999	Gtpbp6
4005	8158	22978	NT5C2	76952	Nt5c2
4006	8159	23429	RYBP	56353	Rybp
4007	8160	22937	SCAP	235623	Scap
4008	8164	23409	SIRT4	75387	Sirt4
4009	8166	23428	SLC7A8	50934	Slc7a8
4010	8169	8277	TKTL1	83553	Tktl1
4011	8170	7988	ZNF212	232784	Zfp212
4012	8171	26959	HBP1	73389	Hbp1
4013	8173	24141	LAMP5	76161	Lamp5
4014	8174	25809	TTLL1	319953	Ttll1
4015	8175	25807	RHBDD3	279766	Rhbdd3
4016	8176	25822	DNAJB5	56323	Dnajb5
4017	8177	23630	KCNE1L	66240	Kcne1l
4018	8178	26251	KCNG2	240444	Kcng2
4019	8180	23415	KCNH4	380728	Kcnh4
4020	8182	23527	ACAP2	78618	Acap2
4021	8183	9697	TRAM2	170829	Tram2
4022	8184	9817	KEAP1	50868	Keap1
4023	8189	9863	MAGI2	50791	Magi2
4024	8192	23017	FAIM2	72393	Faim2
4025	8196	22944	KIN	16588	Kin
4026	8199	25800	SLC39A6	106957	Slc39a6
4027	8200	23659	PLA2G15	192654	Pla2g15
4028	8201	23542	MAPK8IP2	60597	Mapk8ip2
4029	8204	23531	MMD	67468	Mmd
4030	8206	23597	ACOT9	64833	Acot10
4031	8212	23554	TSPAN12	269831	Tspan12
4032	8213	340348	TSPAN33	232670	Tspan33
4033	8215	25805	BAMBI	68010	Bambi
4034	8216	26747	NUFIP1	27275	Nufip1
4035	8217	26268	FBXO9	71538	Fbxo9
4036	8218	26476	OR10J1	258645	Olfr418-ps1
4037	8219	8383	OR1A1	404316	Olfr403
4038	8225	23595	ORC3	50793	Orc3
4039	8226	23548	TTC33	67515	Ttc33
4040	8227	26578	OSTF1	20409	Ostf1
4041	8228	26205	GMEB2	229004	Gmeb2
4042	8229	26471	NUPR1	56312	Nupr1
4043	8231	25803	SPDEF	30051	Spdef
4044	8233	23612	PHLDA3	27280	Phlda3
4045	8234	23647	ARFIP2	76932	Arfip2
4046	8235	11108	PRDM4	72843	Prdm4
4047	8236	23627	PRND	111368	Prn
4048	8237	26470	SEZ6L2	233878	Sez6l2
4049	8238	25797	QPCT	70536	Qpct
4050	8240	25788	RAD54B	623474	Rad54b
4051	8242	26575	RGS17	56533	Rgs17
4052	8243	6018	RLF	109263	Rlf
4053	8244	26750	RPS6KC1	320119	Rps6kc1
4054	8245	23541	SEC14L2	67815	Sec14l2
4055	8246	26984	SEC22A	317717	Sec22a
4056	8247	9723	SEMA3E	20349	Sema3e
4057	8250	26206	SPAG8	433700	Spag8
4058	8251	23557	SNAPIN	20615	Snapin
4059	8252	9576	SPAG6	50525	Spag6
4060	8256	26872	STEAP1	70358	Steap1
4061	8258	23546	SYNGR4	58867	Syngr4
4062	8260	26608	TBL2	27368	Tbl2
4063	8261	23550	PSD4	215632	Psd4
4064	8262	26521	TIMM8B	30057	Timm8b
4065	8264	26277	TINF2	28113	Tinf2
4066	8267	23559	WBP1	22377	Wbp1
4067	8269	22806	IKZF3	22780	Ikzf3
4068	8270	23528	ZNF281	226442	Zfp281
4069	8271	3161	HMMR	15366	Hmmr
4070	8276	6667	SP1	20683	Sp1
4071	8279	11215	AKAP11	219181	Akap11
4072	8280	104	ADARB1	110532	Adarb1
4073	8284	30010	NXPH1	18231	Nxph1
4074	8285	51046	ST8SIA3	20451	St8sia3
4075	8288	1270	CNTF	12803	Cntf
4076	8289	27063	ANKRD1	107765	Ankrd1
4077	8290	27102	EIF2AK1	15467	Eif2ak1
4078	8291	23768	FLRT2	399558	Flrt2
4079	8292	27335	EIF3K	73830	Eif3k
4080	8293	29102	DROSHA	14000	Drosha
4081	8297	25834	MGAT4C	67569	Mgat4c
4082	8299	23529	CLCF1	56708	Clcf1
4083	8301	29107	NXT1	56488	Nxt1
4084	8302	23601	CLEC5A	23845	Clec5a
4085	8303	27122	DKK3	50781	Dkk3
4086	8305	4289	MKLN1	27418	Mkln1
4087	8306	7733	ZNF180	210135	Zfp180
4088	8307	29108	PYCARD	66824	Pycard
4089	8308	29115	SAP30BP	57230	Sap30bp
4090	8309	29116	MYLIP	218203	Mylip
4091	8310	29118	DDX25	30959	Ddx25
4092	8314	29122	PRSS50	235631	Prss50
4093	8315	27344	PCSK1N	30052	Pcsk1n
4094	8319	23729	SHPK	74637	Shpk
4095	8320	27189	IL17C	234836	Il17c
4096	8322	23767	FLRT3	71436	Flrt3
4097	8323	27430	MAT2B	108645	Mat2b
4098	8325	29890	RBM15B	109095	Rbm15b
4099	8328	29902	FAM216A	68948	Fam216a
4100	8331	29906	ST8SIA5	225742	St8sia5
4101	8332	29911	HOOK2	170833	Hook2
4102	8336	29914	UBIAD1	71707	Ubiad1
4103	8337	29915	HCFC2	67933	Hcfc2
4104	8338	29886	SNX8	231834	Snx8
4105	8341	29919	C18orf8	76482	3110002H16Rik
4106	8342	29780	PARVB	170736	Parvb
4107	8343	29920	PYCR2	69051	Pycr2
4108	8344	29922	NME7	171567	Nme7
4109	8345	29923	HILPDA	69573	Hilpda
4110	8346	29926	GMPPA	69080	Gmppa
4111	8348	29930	PCDHB1	93872	Pcdhb1
4112	8349	29844	TFPT	69714	Tfpt
4113	8350	29933	GPR132	56696	Gpr132
4114	8351	29934	SNX12	55988	Snx12
4115	8352	29937	NENF	66208	Nenf
4116	8353	30009	TBX21	57765	Tbx21
4117	8354	29940	DSE	212898	Dse
4118	8355	29765	TMOD4	50874	Tmod4
4119	8357	26577	PCOLCE2	76477	Pcolce2
4120	8358	29944	PNMA3	245468	Pnma3
4121	8359	29882	ANAPC2	99152	Anapc2
4122	8361	29946	SERTAD3	170742	Sertad3
4123	8362	29947	DNMT3L	54427	Dnmt3l
4124	8363	29801	ZDHHC8	27801	Zdhhc8
4125	8365	29950	SERTAD1	55942	Sertad1
4126	8372	29958	DMGDH	74129	Dmgdh
4127	8373	29959	NRBP1	192292	Nrbp1
4128	8374	29761	USP25	30940	Usp25
4129	8378	29888	STRN4	97387	Strn4
4130	8381	30000	TNPO2	212999	Tnpo2
4131	8382	30818	KCNIP3	56461	Kcnip3
4132	8383	30062	RAX	19434	Rax
4133	8384	10787	NCKAP1	50884	Nckap1
4134	8385	29967	LRP12	239393	Lrp12
4135	8387	29992	PILRA	231805	Pilra
4136	8388	11123	RCAN3	53902	Rcan3
4137	8389	30968	STOML2	66592	Stoml2
4138	8390	30815	ST6GALNAC6	50935	St6galnac6
4139	8392	23609	MKRN2	67027	Mkrn2
4140	8393	11176	BAZ2A	116848	Baz2a
4141	8394	29994	BAZ2B	407823	Baz2b
4142	8396	10017	BCL2L10	12049	Bcl2l10
4143	8397	1824	DSC2	13506	Dsc2
4144	8398	64097	EPB41L4A	13824	Epb4.1l4a
4145	8400	27239	GPR162	14788	Gpr162
4146	8401	10536	LEPREL2	14789	Leprel2
4147	8402	113246	C12orf57	14790	Grcc10
4148	8403	83461	CDCA3	14793	Cdca3
4149	8404	84727	SPSB2	14794	Spsb2
4150	8407	50865	HEBP1	15199	Hebp1
4151	8408	3221	HOXC4	15423	Hoxc4
4152	8409	3235	HOXD9	15438	Hoxd9
4153	8410	8844	KSR1	16706	Ksr1
4154	8411	9382	COG1	16834	Cog1
4155	8414	4152	MBD1	17190	Mbd1
4156	8415	4439	MSH5	17687	Msh5
4157	8417	4838	NODAL	18119	Nodal
4158	8421	340990	OTOG	18419	Otog
4159	8422	5460	POU5F1	18999	Pou5f1
4160	8423	84867	PTPN5	19259	Ptpn5
4161	8425	64218	SEMA4A	20351	Sema4a
4162	8426	10509	SEMA4B	20352	Sema4b
4163	8427	54437	SEMA5B	20357	Sema5b
4164	8428	10501	SEMA6B	20359	Sema6b
4165	8429	9892	SNAP91	20616	Snap91
4166	8430	6835	SURF2	20931	Surf2
4167	8433	6954	TCP11	21463	Tcp11
4168	8434	202500	TCTE1	21645	Tcte1
4169	8435	7342	UBP1	22221	Ubp1
4170	8438	221472	FGD2	26382	Fgd2
4171	8439	254950	KRTAP15-1	26560	Krtap15
4172	8440	27077	B9D1	27078	B9d1
4173	8442	203447	NRK	27206	Nrk
4174	8443	64343	AZI2	27215	Azi2
4175	8445	83881	MIXL1	27217	Mixl1
4176	8446	10110	SGK2	27219	Sgk2
4177	8447	26499	PLEK2	27260	Plek2
4178	8448	79930	DOK3	27261	Dok3
4179	8449	58473	PLEKHB1	27276	Plekhb1
4180	8450	116449	CLNK	27278	Clnk
4181	8451	51330	TNFRSF12A	27279	Tnfrsf12a
4182	8452	57110	HRASLS	27281	Hrasls
4183	8453	27143	PALD1	27355	Pald1
4184	8454	94121	SYTL4	27359	Sytl4
4185	8455	51734	MSRB1	27361	Msrb1
4186	8456	1716	DGUOK	27369	Dguok
4187	8458	27134	TJP3	27375	Tjp3
4188	8460	54551	MAGEL2	27385	Magel2
4189	8461	64067	NPAS3	27386	Npas3
